breed,date,rank,
chihuahua,2017,11,
chihuahua,2016,11,
chihuahua,2015,11,
chihuahua,2014,11,
chihuahua,2013,11,
chihuahua,2012,11,
chihuahua,2011,11,
chihuahua,2010,11,
chihuahua,2009,11,
chihuahua,2008,11,
chihuahua,2007,11,
chihuahua,2006,11,
chihuahua,2005,11,
chihuahua,2004,10,
chihuahua,2003,10,
chihuahua,2002,9,
chihuahua,2001,9,
chihuahua,2000,8,
chihuahua,1999,7,
chihuahua,1998,8,
chihuahua,1997,11,
chihuahua,1996,11,
chihuahua,1995,11,
chihuahua,1994,11,
chihuahua,1993,11,
chihuahua,1992,11,
chihuahua,1991,11,
chihuahua,1990,11,
chihuahua,1989,11,
chihuahua,1988,11,
chihuahua,1987,11,
chihuahua,1986,11,
chihuahua,1985,11,
chihuahua,1984,11,
chihuahua,1983,11,
chihuahua,1982,11,
chihuahua,1981,11,
chihuahua,1980,11,
chihuahua,1979,11,
chihuahua,1978,11,
chihuahua,1977,11,
chihuahua,1976,11,
chihuahua,1975,11,
chihuahua,1974,11,
chihuahua,1973,11,
chihuahua,1972,11,
chihuahua,1971,11,
chihuahua,1970,6,
chihuahua,1969,6,
chihuahua,1968,5,
chihuahua,1967,5,
chihuahua,1966,5,
chihuahua,1965,5,
chihuahua,1964,5,
chihuahua,1963,5,
chihuahua,1962,3,
chihuahua,1961,4,
chihuahua,1960,3,
chihuahua,1959,3,
chihuahua,1958,2,
chihuahua,1957,2,
chihuahua,1956,3,
chihuahua,1955,4,
chihuahua,1954,5,
chihuahua,1953,6,
chihuahua,1952,6,
chihuahua,1951,7,
chihuahua,1950,7,
chihuahua,1949,8,
chihuahua,1948,9,
chihuahua,1947,11,
chihuahua,1946,11,
chowChow,2019,11,
chowChow,2018,11,
chowChow,2017,11,
chowChow,2016,11,
chowChow,2015,11,
chowChow,2014,11,
chowChow,2013,11,
chowChow,2012,11,
chowChow,2011,11,
chowChow,2010,11,
chowChow,2009,11,
chowChow,2008,11,
chowChow,2007,11,
chowChow,2006,11,
chowChow,2005,11,
chowChow,2004,11,
chowChow,2003,11,
chowChow,2002,11,
chowChow,2001,11,
chowChow,2000,11,
chowChow,1999,11,
chowChow,1998,11,
chowChow,1997,11,
chowChow,1996,11,
chowChow,1995,11,
chowChow,1994,11,
chowChow,1993,11,
chowChow,1992,10,
chowChow,1991,9,
chowChow,1990,7,
chowChow,1989,7,
chowChow,1988,6,
chowChow,1987,6,
chowChow,1986,6,
chowChow,1985,8,
chowChow,1984,11,
chowChow,1983,11,
chowChow,1982,11,
chowChow,1981,11,
chowChow,1980,11,
chowChow,1979,11,
chowChow,1978,11,
chowChow,1977,11,
chowChow,1976,11,
chowChow,1975,11,
chowChow,1974,11,
chowChow,1973,11,
chowChow,1972,11,
chowChow,1971,11,
chowChow,1970,11,
chowChow,1969,11,
chowChow,1968,11,
chowChow,1967,11,
chowChow,1966,11,
chowChow,1965,10,
chowChow,1964,9,
chowChow,1963,9,
chowChow,1962,9,
chowChow,1961,9,
chowChow,1960,11,
chowChow,1959,11,
chowChow,1958,11,
chowChow,1957,11,
chowChow,1956,11,
chowChow,1955,11,
chowChow,1954,11,
chowChow,1953,11,
chowChow,1952,10,
chowChow,1951,10,
chowChow,1950,10,
chowChow,1949,10,
chowChow,1948,11,
chowChow,1947,10,
chowChow,1946,10,
cockerSpaniel,2019,11,
cockerSpaniel,2018,11,
cockerSpaniel,2017,11,
cockerSpaniel,2016,11,
cockerSpaniel,2015,11,
cockerSpaniel,2014,11,
cockerSpaniel,2013,11,
cockerSpaniel,2012,11,
cockerSpaniel,2011,11,
cockerSpaniel,2010,11,
cockerSpaniel,2009,11,
cockerSpaniel,2008,11,
cockerSpaniel,2007,11,
cockerSpaniel,2006,11,
cockerSpaniel,2005,11,
cockerSpaniel,2004,11,
cockerSpaniel,2003,11,
cockerSpaniel,2002,11,
cockerSpaniel,2001,11,
cockerSpaniel,2000,11,
cockerSpaniel,1999,11,
cockerSpaniel,1998,11,
cockerSpaniel,1997,8,
cockerSpaniel,1996,8,
cockerSpaniel,1995,7,
cockerSpaniel,1994,6,
cockerSpaniel,1993,4,
cockerSpaniel,1992,3,
cockerSpaniel,1991,2,
cockerSpaniel,1990,1,
cockerSpaniel,1989,1,
cockerSpaniel,1988,1,
cockerSpaniel,1987,1,
cockerSpaniel,1986,1,
cockerSpaniel,1985,1,
cockerSpaniel,1984,1,
cockerSpaniel,1983,1,
cockerSpaniel,1982,2,
cockerSpaniel,1981,2,
cockerSpaniel,1980,3,
cockerSpaniel,1979,3,
cockerSpaniel,1978,4,
cockerSpaniel,1977,4,
cockerSpaniel,1976,5,
cockerSpaniel,1975,7,
cockerSpaniel,1974,9,
cockerSpaniel,1973,10,
cockerSpaniel,1972,11,
cockerSpaniel,1971,11,
cockerSpaniel,1970,11,
cockerSpaniel,1969,10,
cockerSpaniel,1968,10,
cockerSpaniel,1967,9,
cockerSpaniel,1966,9,
cockerSpaniel,1965,9,
cockerSpaniel,1964,8,
cockerSpaniel,1963,8,
cockerSpaniel,1962,8,
cockerSpaniel,1961,8,
cockerSpaniel,1960,7,
cockerSpaniel,1959,6,
cockerSpaniel,1958,7,
cockerSpaniel,1957,7,
cockerSpaniel,1956,5,
cockerSpaniel,1955,3,
cockerSpaniel,1954,3,
cockerSpaniel,1953,2,
cockerSpaniel,1952,1,
cockerSpaniel,1951,1,
cockerSpaniel,1950,1,
cockerSpaniel,1949,1,
cockerSpaniel,1948,1,
cockerSpaniel,1947,1,
cockerSpaniel,1946,1,
collie,2019,11,
collie,2018,11,
collie,2017,11,
collie,2016,11,
collie,2015,11,
collie,2014,11,
collie,2013,11,
collie,2012,11,
collie,2011,11,
collie,2010,11,
collie,2009,11,
collie,2008,11,
collie,2007,11,
collie,2006,11,
collie,2005,11,
collie,2004,11,
collie,2003,11,
collie,2002,11,
collie,2001,11,
collie,2000,11,
collie,1999,11,
collie,1998,11,
collie,1997,11,
collie,1996,11,
collie,1995,11,
collie,1994,11,
collie,1993,11,
collie,1992,11,
collie,1991,11,
collie,1990,11,
collie,1989,11,
collie,1988,11,
collie,1987,11,
collie,1986,11,
collie,1985,11,
collie,1984,11,
collie,1983,11,
collie,1982,11,
collie,1981,11,
collie,1980,11,
collie,1979,11,
collie,1978,11,
collie,1977,11,
collie,1976,11,
collie,1975,10,
collie,1974,11,
collie,1973,11,
collie,1972,9,
collie,1971,9,
collie,1970,9,
collie,1969,8,
collie,1968,8,
collie,1967,8,
collie,1966,7,
collie,1965,7,
collie,1964,7,
collie,1963,7,
collie,1962,7,
collie,1961,7,
collie,1960,8,
collie,1959,9,
collie,1958,8,
collie,1957,8,
collie,1956,8,
collie,1955,7,
collie,1954,6,
collie,1953,5,
collie,1952,4,
collie,1951,4,
collie,1950,4,
collie,1949,3,
collie,1948,3,
collie,1947,3,
collie,1946,4,
dachshund,2019,11,
dachshund,2018,11,
dachshund,2017,11,
dachshund,2016,11,
dachshund,2015,11,
dachshund,2014,11,
dachshund,2013,10,
dachshund,2012,9,
dachshund,2011,9,
dachshund,2010,8,
dachshund,2009,8,
dachshund,2008,7,
dachshund,2007,7,
dachshund,2006,6,
dachshund,2005,6,
dachshund,2004,6,
dachshund,2003,5,
dachshund,2002,5,
dachshund,2001,4,
dachshund,2000,4,
dachshund,1999,4,
dachshund,1998,5,
dachshund,1997,7,
dachshund,1996,7,
dachshund,1995,8,
dachshund,1994,8,
dachshund,1993,8,
dachshund,1992,8,
dachshund,1991,8,
dachshund,1990,8,
dachshund,1989,8,
dachshund,1988,9,
dachshund,1987,9,
dachshund,1986,9,
dachshund,1985,9,
dachshund,1984,10,
dachshund,1983,9,
dachshund,1982,9,
dachshund,1981,9,
dachshund,1980,9,
dachshund,1979,8,
dachshund,1978,8,
dachshund,1977,8,
dachshund,1976,8,
dachshund,1975,6,
dachshund,1974,5,
dachshund,1973,5,
dachshund,1972,4,
dachshund,1971,4,
dachshund,1970,3,
dachshund,1969,3,
dachshund,1968,3,
dachshund,1967,4,
dachshund,1966,4,
dachshund,1965,4,
dachshund,1964,4,
dachshund,1963,4,
dachshund,1962,5,
dachshund,1961,3,
dachshund,1960,4,
dachshund,1959,4,
dachshund,1958,4,
dachshund,1957,3,
dachshund,1956,4,
dachshund,1955,5,
dachshund,1954,4,
dachshund,1953,4,
dachshund,1952,5,
dachshund,1951,5,
dachshund,1950,5,
dachshund,1949,6,
dachshund,1948,6,
dachshund,1947,6,
dachshund,1946,6,
dalmation,2019,11,
dalmation,2018,11,
dalmation,2017,11,
dalmation,2016,11,
dalmation,2015,11,
dalmation,2014,11,
dalmation,2013,11,
dalmation,2012,11,
dalmation,2011,11,
dalmation,2010,11,
dalmation,2009,11,
dalmation,2008,11,
dalmation,2007,11,
dalmation,2006,11,
dalmation,2005,11,
dalmation,2004,11,
dalmation,2003,11,
dalmation,2002,11,
dalmation,2001,11,
dalmation,2000,11,
dalmation,1999,11,
dalmation,1998,11,
dalmation,1997,11,
dalmation,1996,11,
dalmation,1995,11,
dalmation,1994,9,
dalmation,1993,9,
dalmation,1992,11,
dalmation,1991,11,
dalmation,1990,11,
dalmation,1989,11,
dalmation,1988,11,
dalmation,1987,11,
dalmation,1986,11,
dalmation,1985,11,
dalmation,1984,11,
dalmation,1983,11,
dalmation,1982,11,
dalmation,1981,11,
dalmation,1980,11,
dalmation,1979,11,
dalmation,1978,11,
dalmation,1977,11,
dalmation,1976,11,
dalmation,1975,11,
dalmation,1974,11,
dalmation,1973,11,
dalmation,1972,11,
dalmation,1971,11,
dalmation,1970,11,
dalmation,1969,11,
dalmation,1968,11,
dalmation,1967,11,
dalmation,1966,11,
dalmation,1965,11,
dalmation,1964,11,
dalmation,1963,11,
dalmation,1962,11,
dalmation,1961,11,
dalmation,1960,11,
dalmation,1959,11,
dalmation,1958,11,
dalmation,1957,11,
dalmation,1956,11,
dalmation,1955,11,
dalmation,1954,11,
dalmation,1953,11,
dalmation,1952,11,
dalmation,1951,11,
dalmation,1950,11,
dalmation,1949,11,
dalmation,1948,11,
dalmation,1947,11,
dalmation,1946,11,
dobermanPinscher,2019,11,
dobermanPinscher,2018,11,
dobermanPinscher,2017,11,
dobermanPinscher,2016,11,
dobermanPinscher,2015,11,
dobermanPinscher,2014,11,
dobermanPinscher,2013,11,
dobermanPinscher,2012,11,
dobermanPinscher,2011,11,
dobermanPinscher,2010,11,
dobermanPinscher,2009,11,
dobermanPinscher,2008,11,
dobermanPinscher,2007,11,
dobermanPinscher,2006,11,
dobermanPinscher,2005,11,
dobermanPinscher,2004,11,
dobermanPinscher,2003,11,
dobermanPinscher,2002,11,
dobermanPinscher,2001,11,
dobermanPinscher,2000,11,
dobermanPinscher,1999,11,
dobermanPinscher,1998,11,
dobermanPinscher,1997,11,
dobermanPinscher,1996,11,
dobermanPinscher,1995,11,
dobermanPinscher,1994,11,
dobermanPinscher,1993,11,
dobermanPinscher,1992,11,
dobermanPinscher,1991,11,
dobermanPinscher,1990,11,
dobermanPinscher,1989,11,
dobermanPinscher,1988,11,
dobermanPinscher,1987,11,
dobermanPinscher,1986,11,
dobermanPinscher,1985,6,
dobermanPinscher,1984,6,
dobermanPinscher,1983,4,
dobermanPinscher,1982,3,
dobermanPinscher,1981,3,
dobermanPinscher,1980,2,
dobermanPinscher,1979,2,
dobermanPinscher,1978,2,
dobermanPinscher,1977,2,
dobermanPinscher,1976,3,
dobermanPinscher,1975,4,
dobermanPinscher,1974,6,
dobermanPinscher,1973,8,
dobermanPinscher,1972,10,
dobermanPinscher,1971,11,
dobermanPinscher,1970,11,
dobermanPinscher,1969,11,
dobermanPinscher,1968,11,
dobermanPinscher,1967,11,
dobermanPinscher,1966,11,
dobermanPinscher,1965,11,
dobermanPinscher,1964,11,
dobermanPinscher,1963,11,
dobermanPinscher,1962,11,
dobermanPinscher,1961,11,
dobermanPinscher,1960,11,
dobermanPinscher,1959,11,
dobermanPinscher,1958,11,
dobermanPinscher,1957,11,
dobermanPinscher,1956,11,
dobermanPinscher,1955,11,
dobermanPinscher,1954,11,
dobermanPinscher,1953,11,
dobermanPinscher,1952,11,
dobermanPinscher,1951,11,
dobermanPinscher,1950,11,
dobermanPinscher,1949,11,
dobermanPinscher,1948,11,
dobermanPinscher,1947,11,
dobermanPinscher,1946,11,
englishSpringerSpaniel,2019,11,
englishSpringerSpaniel,2018,11,
englishSpringerSpaniel,2017,11,
englishSpringerSpaniel,2016,11,
englishSpringerSpaniel,2015,11,
englishSpringerSpaniel,2014,11,
englishSpringerSpaniel,2013,11,
englishSpringerSpaniel,2012,11,
englishSpringerSpaniel,2011,11,
englishSpringerSpaniel,2010,11,
englishSpringerSpaniel,2009,11,
englishSpringerSpaniel,2008,11,
englishSpringerSpaniel,2007,11,
englishSpringerSpaniel,2006,11,
englishSpringerSpaniel,2005,11,
englishSpringerSpaniel,2004,11,
englishSpringerSpaniel,2003,11,
englishSpringerSpaniel,2002,11,
englishSpringerSpaniel,2001,11,
englishSpringerSpaniel,2000,11,
englishSpringerSpaniel,1999,11,
englishSpringerSpaniel,1998,11,
englishSpringerSpaniel,1997,11,
englishSpringerSpaniel,1996,11,
englishSpringerSpaniel,1995,11,
englishSpringerSpaniel,1994,11,
englishSpringerSpaniel,1993,11,
englishSpringerSpaniel,1992,11,
englishSpringerSpaniel,1991,11,
englishSpringerSpaniel,1990,11,
englishSpringerSpaniel,1989,11,
englishSpringerSpaniel,1988,11,
englishSpringerSpaniel,1987,11,
englishSpringerSpaniel,1986,11,
englishSpringerSpaniel,1985,11,
englishSpringerSpaniel,1984,11,
englishSpringerSpaniel,1983,11,
englishSpringerSpaniel,1982,11,
englishSpringerSpaniel,1981,11,
englishSpringerSpaniel,1980,11,
englishSpringerSpaniel,1979,11,
englishSpringerSpaniel,1978,11,
englishSpringerSpaniel,1977,11,
englishSpringerSpaniel,1976,11,
englishSpringerSpaniel,1975,11,
englishSpringerSpaniel,1974,11,
englishSpringerSpaniel,1973,11,
englishSpringerSpaniel,1972,11,
englishSpringerSpaniel,1971,11,
englishSpringerSpaniel,1970,11,
englishSpringerSpaniel,1969,11,
englishSpringerSpaniel,1968,11,
englishSpringerSpaniel,1967,11,
englishSpringerSpaniel,1966,11,
englishSpringerSpaniel,1965,11,
englishSpringerSpaniel,1964,11,
englishSpringerSpaniel,1963,11,
englishSpringerSpaniel,1962,11,
englishSpringerSpaniel,1961,11,
englishSpringerSpaniel,1960,11,
englishSpringerSpaniel,1959,11,
englishSpringerSpaniel,1958,11,
englishSpringerSpaniel,1957,11,
englishSpringerSpaniel,1956,11,
englishSpringerSpaniel,1955,11,
englishSpringerSpaniel,1954,11,
englishSpringerSpaniel,1953,11,
englishSpringerSpaniel,1952,11,
englishSpringerSpaniel,1951,11,
englishSpringerSpaniel,1950,11,
englishSpringerSpaniel,1949,11,
englishSpringerSpaniel,1948,8,
englishSpringerSpaniel,1947,8,
englishSpringerSpaniel,1946,8,
frenchBulldog,2019,4,
frenchBulldog,2018,4,
frenchBulldog,2017,4,
frenchBulldog,2016,6,
frenchBulldog,2015,6,
frenchBulldog,2014,9,
frenchBulldog,2013,11,
frenchBulldog,2012,11,
frenchBulldog,2011,11,
frenchBulldog,2010,11,
frenchBulldog,2009,11,
frenchBulldog,2008,11,
frenchBulldog,2007,11,
frenchBulldog,2006,11,
frenchBulldog,2005,11,
frenchBulldog,2004,11,
frenchBulldog,2003,11,
frenchBulldog,2002,11,
frenchBulldog,2001,11,
frenchBulldog,2000,11,
frenchBulldog,1999,11,
frenchBulldog,1998,11,
frenchBulldog,1997,11,
frenchBulldog,1996,11,
frenchBulldog,1995,11,
frenchBulldog,1994,11,
frenchBulldog,1993,11,
frenchBulldog,1992,11,
frenchBulldog,1991,11,
frenchBulldog,1990,11,
frenchBulldog,1989,11,
frenchBulldog,1988,11,
frenchBulldog,1987,11,
frenchBulldog,1986,11,
frenchBulldog,1985,11,
frenchBulldog,1984,11,
frenchBulldog,1983,11,
frenchBulldog,1982,11,
frenchBulldog,1981,11,
frenchBulldog,1980,11,
frenchBulldog,1979,11,
frenchBulldog,1978,11,
frenchBulldog,1977,11,
frenchBulldog,1976,11,
frenchBulldog,1975,11,
frenchBulldog,1974,11,
frenchBulldog,1973,11,
frenchBulldog,1972,11,
frenchBulldog,1971,11,
frenchBulldog,1970,11,
frenchBulldog,1969,11,
frenchBulldog,1968,11,
frenchBulldog,1967,11,
frenchBulldog,1966,11,
frenchBulldog,1965,11,
frenchBulldog,1964,11,
frenchBulldog,1963,11,
frenchBulldog,1962,11,
frenchBulldog,1961,11,
frenchBulldog,1960,11,
frenchBulldog,1959,11,
frenchBulldog,1958,11,
frenchBulldog,1957,11,
frenchBulldog,1956,11,
frenchBulldog,1955,11,
frenchBulldog,1954,11,
frenchBulldog,1953,11,
frenchBulldog,1952,11,
frenchBulldog,1951,11,
frenchBulldog,1950,11,
frenchBulldog,1949,11,
frenchBulldog,1948,11,
frenchBulldog,1947,11,
frenchBulldog,1946,11,
germanShepherd,2019,2,
germanShepherd,2018,2,
germanShepherd,2017,2,
germanShepherd,2016,2,
germanShepherd,2015,2,
germanShepherd,2014,2,
germanShepherd,2013,2,
germanShepherd,2012,2,
germanShepherd,2011,2,
germanShepherd,2010,2,
germanShepherd,2009,2,
germanShepherd,2008,3,
germanShepherd,2007,3,
germanShepherd,2006,3,
germanShepherd,2005,4,
germanShepherd,2004,3,
germanShepherd,2003,4,
germanShepherd,2002,3,
germanShepherd,2001,3,
germanShepherd,2000,3,
germanShepherd,1999,3,
germanShepherd,1998,3,
germanShepherd,1997,3,
germanShepherd,1996,3,
germanShepherd,1995,3,
germanShepherd,1994,3,
germanShepherd,1993,3,
germanShepherd,1992,4,
germanShepherd,1991,5,
germanShepherd,1990,6,
germanShepherd,1989,5,
germanShepherd,1988,5,
germanShepherd,1987,5,
germanShepherd,1986,5,
germanShepherd,1985,4,
germanShepherd,1984,4,
germanShepherd,1983,5,
germanShepherd,1982,5,
germanShepherd,1981,4,
germanShepherd,1980,4,
germanShepherd,1979,4,
germanShepherd,1978,3,
germanShepherd,1977,3,
germanShepherd,1976,2,
germanShepherd,1975,2,
germanShepherd,1974,2,
germanShepherd,1973,2,
germanShepherd,1972,2,
germanShepherd,1971,2,
germanShepherd,1970,2,
germanShepherd,1969,2,
germanShepherd,1968,2,
germanShepherd,1967,2,
germanShepherd,1966,2,
germanShepherd,1965,2,
germanShepherd,1964,2,
germanShepherd,1963,2,
germanShepherd,1962,4,
germanShepherd,1961,5,
germanShepherd,1960,5,
germanShepherd,1959,5,
germanShepherd,1958,5,
germanShepherd,1957,6,
germanShepherd,1956,6,
germanShepherd,1955,6,
germanShepherd,1954,7,
germanShepherd,1953,7,
germanShepherd,1952,8,
germanShepherd,1951,8,
germanShepherd,1950,9,
germanShepherd,1949,9,
germanShepherd,1948,10,
germanShepherd,1947,11,
germanShepherd,1946,11,
germanShorthairedPinscher,2019,9,
germanShorthairedPinscher,2018,8,
germanShorthairedPinscher,2017,10,
germanShorthairedPinscher,2016,11,
germanShorthairedPinscher,2015,11,
germanShorthairedPinscher,2014,11,
germanShorthairedPinscher,2013,11,
germanShorthairedPinscher,2012,11,
germanShorthairedPinscher,2011,11,
germanShorthairedPinscher,2010,11,
germanShorthairedPinscher,2009,11,
germanShorthairedPinscher,2008,11,
